"Name","Angle","Shift_X","Shift_Y","IoU"
"summer-spaceship-187","-0.2","50","40","0.773"
"effortless-lion-186","-0.2","50","30","0.775"
"youthful-resonance-185","-0.2","50","20","0.774"
"toasty-thunder-184","-0.2","50","10","0.769"
"decent-lion-183","-0.2","50","0","0.773"
"floral-gorge-182","-0.2","40","60","0.777"
"visionary-frog-181","-0.2","40","50","0.775"
"mild-sun-180","-0.2","40","40","0.773"
"balmy-sun-179","-0.2","40","30","0.776"
"helpful-spaceship-178","-0.2","40","20","0.772"
"devoted-shape-177","-0.2","40","10","0.773"
"celestial-dream-176","-0.2","40","0","0.773"
"solar-pine-175","-0.2","30","60","0.78"
"pious-frost-174","-0.2","30","50","0.778"
"jolly-moon-173","-0.2","30","40","0.776"
"skilled-flower-172","-0.2","30","30","0.776"
"good-vortex-171","-0.2","30","20","0.774"
"likely-dragon-170","-0.2","30","10","0.774"
"true-aardvark-169","-0.2","30","0","0.775"
"leafy-microwave-168","-0.2","20","60","0.779"
"silver-armadillo-167","-0.2","20","50","0.777"
"devout-water-166","-0.2","20","40","0.774"
"celestial-water-165","-0.2","20","30","0.776"
"absurd-monkey-164","-0.2","20","20","0.773"
"stilted-sunset-163","-0.2","20","10","0.772"
"iconic-wildflower-162","-0.2","20","0","0.773"
"ethereal-gorge-161","-0.2","10","60","0.778"
"clear-firefly-160","-0.2","10","50","0.776"
"flowing-donkey-159","-0.2","10","40","0.774"
"gentle-deluge-158","-0.2","10","30","0.775"
"toasty-shadow-157","-0.2","10","20","0.773"
"cerulean-sponge-156","-0.2","10","10","0.773"
"valiant-vortex-155","-0.2","10","0","0.771"
"glad-sky-154","-0.2","0","60","0.775"
"icy-armadillo-153","-0.2","0","50","0.775"
"apricot-shape-152","-0.2","0","40","0.772"
"young-puddle-151","-0.2","0","30","0.773"
"lucky-puddle-150","-0.2","0","20","0.772"
"glorious-disco-149","-0.2","0","10","0.769"
"eager-darkness-148","-0.2","0","0","0.77"
"olive-morning-147","-0.3","60","60","0.755"
"hardy-river-146","-0.3","60","50","0.756"
"fragrant-silence-145","-0.3","60","40","0.755"
"proud-capybara-144","-0.3","60","30","0.754"
"swift-pond-143","-0.3","60","20","0.752"
"polar-waterfall-142","-0.3","60","10","0.752"
"polar-wave-141","-0.3","60","0","0.75"
"glamorous-shadow-140","-0.3","50","60","0.756"
"efficient-wildflower-139","-0.3","50","50","0.757"
"zany-monkey-138","-0.3","50","40","0.755"
"lucky-voice-137","-0.3","50","30","0.753"
"revived-feather-136","-0.3","50","20","0.755"
"morning-water-135","-0.3","50","10","0.754"
"light-jazz-134","-0.3","50","0","0.751"
"apricot-blaze-133","-0.3","40","60","0.753"
"major-galaxy-132","-0.3","40","50","0.753"
"rose-paper-131","-0.3","40","40","0.755"
"polar-smoke-130","-0.3","40","30","0.751"
"likely-blaze-129","-0.3","40","20","0.753"
"fresh-water-128","-0.3","40","10","0.75"
"snowy-water-127","-0.3","40","0","0.748"
"likely-morning-126","-0.3","30","60","0.756"
"avid-sea-125","-0.3","30","50","0.756"
"genial-water-124","-0.3","30","40","0.752"
"dainty-breeze-123","-0.3","30","30","0.755"
"sleek-star-122","-0.3","30","20","0.753"
"electric-tree-121","-0.3","30","10","0.753"
"whole-dream-120","-0.3","30","0","0.753"
"lemon-armadillo-119","-0.3","20","60","0.755"
"devoted-mountain-118","-0.3","20","50","0.755"
"golden-violet-117","-0.3","20","40","0.754"
"classic-bird-116","-0.3","20","30","0.752"
"atomic-lion-115","-0.3","20","20","0.753"
"decent-smoke-114","-0.3","20","10","0.754"
"ruby-music-113","-0.3","20","0","0.75"
"vibrant-flower-112","-0.3","10","60","0.752"
"proud-brook-111","-0.3","10","50","0.751"
"summer-lion-110","-0.3","10","40","0.751"
"earnest-frost-109","-0.3","10","30","0.754"
"wobbly-snowflake-108","-0.3","10","20","0.752"
"wandering-energy-107","-0.3","10","10","0.749"
"fine-rain-106","-0.3","10","0","0.752"
"gallant-plasma-105","-0.3","0","60","0.757"
"likely-totem-104","-0.3","0","50","0.757"
"trim-silence-103","-0.3","0","40","0.754"
"gallant-dawn-102","-0.3","0","30","0.755"
"treasured-wildflower-101","-0.3","0","20","0.755"
"noble-music-100","-0.3","0","10","0.755"
"fresh-blaze-99","-0.3","0","0","0.753"
"spring-shadow-98","-0.4","60","60","0.737"
"fast-haze-97","-0.4","60","50","0.734"
"dauntless-firefly-96","-0.4","60","40","0.735"
"rosy-night-95","-0.4","60","30","0.732"
"gentle-pyramid-94","-0.4","60","20","0.732"
"vocal-microwave-93","-0.4","60","10","0.731"
"iconic-energy-92","-0.4","60","0","0.729"
"atomic-vortex-91","-0.4","50","60","0.733"
"lilac-elevator-90","-0.4","50","50","0.733"
"fresh-wave-89","-0.4","50","40","0.734"
"vital-cosmos-88","-0.4","50","30","0.732"
"spring-surf-87","-0.4","50","20","0.731"
"feasible-wood-86","-0.4","50","10","0.731"
"whole-snowball-85","-0.4","50","0","0.728"
"super-paper-84","-0.4","40","60","0.733"
"toasty-wood-83","-0.4","40","50","0.731"
"effortless-thunder-82","-0.4","40","40","0.732"
"azure-sunset-81","-0.4","40","30","0.728"
"dandy-snowball-80","-0.4","40","20","0.728"
"royal-serenity-79","-0.4","40","10","0.729"
"solar-resonance-78","-0.4","40","0","0.725"
"robust-shadow-77","-0.4","30","60","0.734"
"frosty-smoke-76","-0.4","30","50","0.732"
"exalted-flower-75","-0.4","30","40","0.734"
"giddy-capybara-74","-0.4","30","30","0.731"
"cool-thunder-73","-0.4","30","20","0.728"
"expert-wave-72","-0.4","30","10","0.731"
"lilac-voice-71","-0.4","30","0","0.726"
"light-cherry-70","-0.4","20","60","0.734"
"rose-lake-69","-0.4","20","50","0.731"
"earnest-plant-68","-0.4","20","40","0.732"
"sweet-rain-67","-0.4","20","30","0.729"
"apricot-energy-66","-0.4","20","20","0.729"
"likely-deluge-65","-0.4","20","10","0.728"
"devout-morning-64","-0.4","20","0","0.726"
"soft-sponge-63","-0.4","10","60","0.732"
"visionary-wildflower-62","-0.4","10","50","0.733"
"twilight-totem-61","-0.4","10","40","0.732"
"polar-terrain-60","-0.4","10","30","0.73"
"hardy-dragon-59","-0.4","10","20","0.727"
"glamorous-firefly-58","-0.4","10","10","0.73"
"gallant-glitter-57","-0.4","10","0","0.724"
"glorious-bush-56","-0.4","0","60","0.731"
"restful-thunder-55","-0.4","0","50","0.73"
"eternal-resonance-54","-0.4","0","40","0.733"
"dandy-star-53","-0.4","0","30","0.729"
"iconic-frog-52","-0.4","0","20","0.729"
"clear-leaf-51","-0.4","0","10","0.729"
"ethereal-night-50","-0.4","0","0","0.726"
"unique-voice-49","-0.5","60","60","0.711"
"major-moon-48","-0.5","60","50","0.707"
"gentle-leaf-47","-0.5","60","40","0.712"
"fluent-sea-46","-0.5","60","30","0.708"
"summer-plasma-45","-0.5","60","20","0.706"
"cool-dew-44","-0.5","60","10","0.706"
"northern-morning-43","-0.5","60","0","0.702"
"fresh-silence-42","-0.5","50","60","0.707"
"twilight-firefly-41","-0.5","50","50","0.706"
"misunderstood-sound-40","-0.5","50","40","0.71"
"comic-grass-39","-0.5","50","30","0.703"
"giddy-sunset-38","-0.5","50","20","0.706"
"fancy-flower-37","-0.5","50","10","0.705"
"snowy-sky-36","-0.5","50","0","0.698"
"graceful-firefly-35","-0.5","40","60","0.712"
"flowing-firefly-34","-0.5","40","50","0.704"
"quiet-pond-33","-0.5","40","40","0.711"
"frosty-firebrand-32","-0.5","40","30","0.707"
"trim-resonance-31","-0.5","40","20","0.705"
"driven-capybara-30","-0.5","40","10","0.707"
