"Angle","Shift_X","Shift_Y","mIoU"
"-0.5","-60","40","0.823"
"-0.5","-60","60","0.824"
"-0.5","-60","80","0.825"
"-0.5","-40","-80","0.815"
"-0.5","-40","-60","0.816"
"-0.5","-40","-40","0.819"
"-0.5","-40","-20","0.818"
"-0.5","-40","0","0.816"
"-0.5","-40","20","0.815"
"-0.5","-40","40","0.818"
"-0.5","-40","60","0.817"
"-0.5","-40","80","0.816"
"-0.5","-20","-80","0.817"
"-0.5","-20","-60","0.816"
"-0.5","-20","-40","0.819"
"-0.5","-20","-20","0.815"
"-0.5","-20","0","0.814"
"-0.5","-20","20","0.815"
"-0.5","-20","40","0.818"
"-0.5","-20","60","0.813"
"-0.5","-20","80","0.815"
"-0.5","0","-80","0.809"
"-0.5","0","-60","0.808"
"-0.5","0","-40","0.814"
"-0.5","0","-20","0.815"
"-0.5","0","0","0.813"
"-0.5","0","20","0.811"
"-0.5","0","40","0.812"
"-0.5","0","60","0.814"
"-0.5","0","80","0.813"
"-0.5","20","-80","0.814"
"-0.5","20","-60","0.812"
"-0.5","20","-40","0.816"
"-0.5","20","-20","0.814"
"-0.5","20","0","0.816"
"-0.5","20","20","0.813"
"-0.5","20","40","0.815"
"-0.5","20","60","0.814"
"-0.5","20","80","0.817"
"-0.5","40","-80","0.812"
"-0.5","40","-60","0.813"
"-0.5","40","-40","0.815"
"-0.5","40","-20","0.815"
"-0.5","40","0","0.813"
"-0.5","40","20","0.812"
"-0.5","40","40","0.812"
"-0.5","40","60","0.814"
"-0.5","40","80","0.813"
"-0.5","60","-80","0.818"
"-0.5","60","-60","0.815"
"-0.5","60","-40","0.816"
"-0.5","60","-20","0.813"
"-0.5","60","0","0.814"
"-0.5","60","20","0.814"
"-0.5","60","40","0.815"
"-0.5","60","60","0.811"
"-0.5","60","80","0.813"
"-0.5","80","-80","0.813"
"-0.5","80","-60","0.812"
"-0.5","80","-40","0.815"
"-0.5","80","-20","0.815"
"-0.5","80","0","0.814"
"-0.5","80","20","0.813"
"-0.5","80","40","0.812"
"-0.5","80","60","0.815"
"-0.5","80","80","0.814"
"-0.45","-80","-80","0.826"
"-0.45","-80","-60","0.828"
