"Angle","Shift_X","Shift_Y","mIoU"
"2.75","60","60","0.564"
"2.75","60","80","0.564"
"2.75","80","-80","0.578"
"2.75","80","-60","0.574"
"2.75","80","-40","0.568"
"2.75","80","-20","0.564"
"2.75","80","0","0.558"
"2.75","80","20","0.564"
"2.75","80","40","0.569"
"2.75","80","60","0.572"
"2.75","80","80","0.568"
"3.14","-80","-80","0.598"
"3.14","-80","-60","0.592"
"3.14","-80","-40","0.594"
"3.14","-80","-20","0.586"
"3.14","-80","0","0.584"
"3.14","-80","20","0.585"
"3.14","-80","40","0.592"
"3.14","-80","60","0.593"
"3.14","-80","80","0.593"
"3.14","-60","-80","0.592"
"3.14","-60","-60","0.59"
"3.14","-60","-40","0.589"
"3.14","-60","-20","0.581"
"3.14","-60","0","0.577"
"3.14","-60","20","0.58"
"3.14","-60","40","0.588"
"3.14","-60","60","0.587"
"3.14","-60","80","0.589"
"3.14","-40","-80","0.594"
"3.14","-40","-60","0.589"
"3.14","-40","-40","0.588"
"3.14","-40","-20","0.58"
"3.14","-40","0","0.576"
"3.14","-40","20","0.58"
"3.14","-40","40","0.584"
"3.14","-40","60","0.587"
"3.14","-40","80","0.587"
"3.14","-20","-80","0.587"
"3.14","-20","-60","0.588"
"3.14","-20","-40","0.584"
"3.14","-20","-20","0.58"
"3.14","-20","0","0.572"
"3.14","-20","20","0.578"
"3.14","-20","40","0.584"
"3.14","-20","60","0.588"
"3.14","-20","80","0.586"
"3.14","0","-80","0.587"
"3.14","0","-60","0.583"
"3.14","0","-40","0.582"
"3.14","0","-20","0.573"
"3.14","0","0","0.571"
"3.14","0","20","0.573"
"3.14","0","40","0.582"
"3.14","0","60","0.584"
"3.14","0","80","0.585"
"3.14","20","-80","0.586"
"3.14","20","-60","0.585"
"3.14","20","-40","0.583"
"3.14","20","-20","0.575"
"3.14","20","0","0.572"
"3.14","20","20","0.575"
"3.14","20","40","0.584"
"3.14","20","60","0.584"
"3.14","20","80","0.586"
"3.14","40","-80","0.592"
"3.14","40","-60","0.591"
"3.14","40","-40","0.589"
"3.14","40","-20","0.581"
"3.14","40","0","0.578"
"3.14","40","20","0.582"
"3.14","40","40","0.589"
"3.14","40","60","0.591"
"3.14","40","80","0.589"
"3.14","60","-80","0.595"
"3.14","60","-60","0.596"
"3.14","60","-40","0.592"
"3.14","60","-20","0.591"
"3.14","60","0","0.584"
"3.14","60","20","0.59"
"3.14","60","40","0.593"
"3.14","60","60","0.599"
"3.14","60","80","0.595"
"3.14","80","-80","0.596"
"3.14","80","-60","0.596"
"3.14","80","-40","0.595"
"3.14","80","-20","0.588"
"3.14","80","0","0.586"
"3.14","80","20","0.588"
"3.14","80","40","0.595"
"3.14","80","60","0.597"
"3.14","80","80","0.596"
