"Name","Runtime","Notes","Tags","copy_dropout","decay_rate","decay_steps","lambda_L1","lambda_L2","lambda_tv","learning_rate","num_iter","num_samples","optimizer","use_BTV","avg_standard_iou","avg_aug_SR_iou"
"lucky-sweep-21","2163","-","","0.1","0.6000000000000001","60","0.8836401324985554","0.17489331451997503","0.7591768243245985","0.1","600","500","adam","false","0.8724168970462777","0.8762896297471008"
"expert-sweep-90","3877","-","","0.2","0.55","40","0.9420990951166968","0.2923823377204986","0.6442018453848113","0.01","500","500","adam","true","0.8724168970462777","0.8762775297519501"
"icy-sweep-4","3874","-","","0.2","0.45","40","0.8305014302594345","0.1038300690140479","0.5295254245110461","0.1","500","500","adam","true","0.8724168970462777","0.8762561599299515"
"chocolate-sweep-62","1951","-","","0","0.7000000000000001","80","0.5414332588401828","0.8069031157729086","0.5154335738849736","0.01","500","500","adam","false","0.8724168970462777","0.8762202476240691"
"royal-sweep-42","1908","-","","0.1","0.2","60","0.39066083098604554","0.8203601866060696","0.4583815837316406","0.01","500","500","adam","false","0.8724168970462777","0.876218253267685"
"noble-sweep-109","1686","-","","0.2","0.35000000000000003","60","0.7975157942240619","0.3379920695634059","0.7861153717383098","0.1","500","500","adam","false","0.8724168970462777","0.8762132338273756"
"absurd-sweep-65","3388","-","","0.1","0.5","80","0.41057589673322337","0.7079138784226948","0.7637773385140231","0.001","400","500","adam","true","0.8724168970462777","0.8762039407839829"
"still-sweep-84","4188","-","","0.30000000000000004","0.5","60","0.982547835579084","0.233691999776246","0.9262387191144033","0.001","500","500","adam","true","0.8724168970462777","0.8762013827147698"
"smart-sweep-101","4601","-","","0.2","0.8500000000000001","60","0.9701734396308308","0.30301340185956915","0.8260663916216383","0.01","600","500","adam","true","0.8724168970462777","0.8761942825082004"
"good-sweep-59","1398","-","","0.2","0.7000000000000001","60","0.9411833744692158","0.6136736101065252","0.9123813449165568","0.01","400","500","adam","false","0.8724168970462777","0.8761437620467017"
"robust-sweep-38","1879","-","","0.1","0.65","80","0.16428935750241613","0.8378111419465387","0.2920901438204102","0.01","500","500","adam","false","0.8724168970462777","0.876115820782229"
"desert-sweep-120","4665","-","","0.2","0.45","80","0.5095706531657788","0.4392877529010547","0.8972418830604887","0.001","600","500","adam","true","0.8724168970462777","0.8761030172364526"
"warm-sweep-74","2016","-","","0.1","0.65","80","0.8151050192553749","0.8345793761594159","0.6523147399820737","0.01","500","500","adam","false","0.8724168970462777","0.8760661693625372"
"grateful-sweep-29","1599","-","","0","0.15000000000000002","80","0.1881425358349571","0.6060156471586975","0.18765405276774405","0.1","400","500","adam","false","0.8724168970462777","0.8760420121189546"
"devoted-sweep-39","1582","-","","0.1","0.75","60","0.6864167225236788","0.7587199378624759","0.5461920738558759","0.01","400","500","adam","false","0.8724168970462777","0.876033141712232"
"ethereal-sweep-89","1683","-","","0.2","0.7000000000000001","60","0.6513924534393875","0.5384784498557462","0.5639169829071806","0.01","500","500","adam","false","0.8724168970462777","0.8759792609914632"
"dutiful-sweep-57","1461","-","","0.2","0.30000000000000004","100","0.34216448714887004","0.9936449775017648","0.33561989199379416","0.01","400","500","adam","false","0.8724168970462777","0.8758084044892729"
"rich-sweep-75","1728","-","","0.2","0.4","40","0.9910700496597172","0.42215032616142567","0.588585874219778","0.1","500","500","adam","false","0.8724168970462777","0.8757208159097557"
